Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
44154569,"The AI Does Not Hate You: Superintelligence, Rationality and the Race to Save the World",Tom Chivers,"Chivers, Tom",,,,0,3.98,Weidenfeld & Nicolson,Kindle Edition,304,2019,,,2021/09/04,,,read,,,,1,,,0,,,,,
47173,The Norton Anthology of Theory and Criticism,Vincent B. Leitch,"Leitch, Vincent B.","William E. Cain, Laurie A. Finke, John P. McGowan, Barbara   Johnson, Jeffrey L. Williams",0393974294,9780393974294,0,4.14,W. W. Norton & Company,Hardcover,2662,2001,2001,,2021/09/04,to-read,to-read (#37),to-read,,,,0,,,0,,,,,
57981,The End of History and the Last Man,Francis Fukuyama,"Fukuyama, Francis",,0743284550,9780743284554,0,3.57,Free Press,Paperback,464,2006,1992,,2021/09/04,to-read,to-read (#36),to-read,,,,0,,,0,,,,,
117047,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,"Dawkins, Richard",,0141026162,9780141026169,0,4.07,Penguin,Paperback,466,2006,1986,,2021/09/04,to-read,to-read (#35),to-read,,,,0,,,0,,,,,
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,"Pirsig, Robert M.",,0060589469,9780060589462,0,3.77,HarperTorch,Mass Market Paperback,540,2006,1974,,2021/08/05,currently-reading,currently-reading (#11),currently-reading,,,,1,,,0,,,,,
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,059309932X,9780593099322,0,4.24,Ace Books,Hardcover,688,2019,1965,,2021/09/04,currently-reading,currently-reading (#10),currently-reading,,,,1,,,0,,,,,
16287039,The Transhumanist Reader,Max More,"More, Max",Natasha Vita-More,1118334310,9781118334317,0,4.01,Wiley-Blackwell,Paperback,480,2013,2013,,2021/09/04,currently-reading,currently-reading (#9),currently-reading,,,,1,,,0,,,,,
26831944,"The Age of Em: Work, Love and Life When Robots Rule the Earth",Robin Hanson,"Hanson, Robin",,0198754620,9780198754626,0,3.41,Oxford University Press,Hardcover,368,2016,2016,,2021/09/04,currently-reading,currently-reading (#8),currently-reading,,,,1,,,0,,,,,
38820046,21 Lessons for the 21st Century,Yuval Noah Harari,"Harari, Yuval Noah",,0525512179,9780525512172,0,4.16,Random House,Hardcover,372,2018,2018,,2021/08/05,currently-reading,currently-reading (#7),currently-reading,,,,1,,,0,,,,,
1099422,The Story of Tea: A Cultural History and Drinking Guide,Mary Lou Heiss,"Heiss, Mary Lou",Robert J. Heiss,1580087450,9781580087452,0,3.94,Ten Speed Press,Hardcover,432,2007,2007,,2021/08/01,,,read,,,,1,,,0,,,,,
45186565,Uncanny Valley,Anna Wiener,"Wiener, Anna",,0374278016,9780374278014,0,3.68,MCD,Hardcover,281,2020,2020,,2021/08/07,,,read,,,,1,,,0,,,,,
11987,The Myth of Sisyphus and Other Essays,Albert Camus,"Camus, Albert",Justin O'Brien,,,0,4.21,Vintage International,Paperback,212,1991,1942,,2021/08/05,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
36402034,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,,,0,4.08,Ballantine Books,Kindle Edition,258,2008,1968,,2021/08/01,,,read,,,,1,,,0,,,,,
36236124,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,0393355942,9780393355949,0,4.18,W. W. Norton  Company,Paperback,218,2018,1996,,2021/08/02,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
3873,"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Karen Armstrong,"Armstrong, Karen",,0517223120,9780517223123,0,3.87,Gramercy Books,Hardcover,460,2004,1993,,2021/08/01,to-read,to-read (#34),to-read,,,,0,,,0,,,,,
6340873,The Evolution of God,Robert Wright,"Wright, Robert",,0316734918,9780316734912,0,3.94,"Little, Brown and Company",Hardcover,567,2009,2009,,2021/08/01,to-read,to-read (#33),to-read,,,,0,,,0,,,,,
26141840,"By Steppe, Desert, and Ocean: The Birth of Eurasia",Barry Cunliffe,"Cunliffe, Barry",,,,0,4.39,OUP Oxford,Kindle Edition,540,2015,2015,,2021/08/01,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
8302420,The Roman Empire: Roots of Imperialism,Neville Morley,"Morley, Neville",,0745328695,9780745328690,0,3.17,Pluto Press,Paperback,176,2010,2010,,2021/08/01,currently-reading,currently-reading (#4),currently-reading,,,,1,,,0,,,,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,0374275637,9780374275631,0,4.16,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2021/08/01,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
721748,Not To Mention Camels: A Wild Trip Through Time And Space,R.A. Lafferty,"Lafferty, R.A.",,1587152452,9781587152450,0,3.82,Wildside Press,Paperback,,2000,1976,,2021/08/01,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
17674998,Average Is Over: Powering America Beyond the Age of the Great Stagnation,Tyler Cowen,"Cowen, Tyler",,0525953736,9780525953739,0,3.65,Dutton,Hardcover,304,2013,2013,,2021/08/01,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
34466958,Bullshit Jobs: A Theory,David Graeber,"Graeber, David",,150114331X,9781501143311,0,4.01,Simon & Schuster,Hardcover,335,2018,2018,,2021/08/01,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
16308894,A Cyborg Manifesto,Donna J. Haraway,"Haraway, Donna J.",,,,0,3.90,Routledge,ebook,88,,1985,,2021/08/01,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
393199,Down and Out in Paris and London,George Orwell,"Orwell, George",,015626224X,9780156262248,0,4.05,Mariner Books,Paperback,213,1972,1933,,2021/08/01,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
51940314,"Against Demagogues: What Aristophanes Can Teach Us about the Perils of Populism and the Fate of Democracy, New Translations of the Acharnians and the Knights",Robert C. Bartlett,"Bartlett, Robert C.",,0520344103,9780520344105,0,4.00,University of California Press,Hardcover,296,2020,,,2021/08/01,to-read,to-read (#25),to-read,,,,0,,,0,,,,,
14360698,Aristophanic Comedy and the Challenge of Democratic Citizenship,John Zumbrunnen,"Zumbrunnen, John",,1580464173,9781580464178,0,3.00,University of Rochester Press,Hardcover,165,2012,2012,,2021/08/01,to-read,to-read (#24),to-read,,,,0,,,0,,,,,
36515770,Radical Markets: Uprooting Capitalism and Democracy for a Just Society,Eric A. Posner,"Posner, Eric A.",E. Glen Weyl,0691177503,9780691177502,0,4.00,Princeton University Press,Hardcover,368,2018,2018,,2021/08/01,to-read,to-read (#23),to-read,,,,0,,,0,,,,,
12158480,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,"Acemoğlu, Daron",James A. Robinson,0307719219,9780307719218,0,4.06,Crown Business,Hardcover,529,2012,2012,,2021/08/01,to-read,to-read (#22),to-read,,,,0,,,0,,,,,
10016013,Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,"Yudkowsky, Eliezer",,,,0,4.39,hpmor.com & fanfiction.net,ebook,2184,2015,2015,,2021/08/01,to-read,to-read (#21),to-read,,,,0,,,0,,,,,
54680228,"We Are Bellingcat: Global Crime, Online Sleuths, and the Bold Future of News",Eliot Higgins,"Higgins, Eliot",,1635577306,9781635577303,0,4.12,Bloomsbury Publishing,Hardcover,272,2021,2021,,2021/08/01,to-read,to-read (#20),to-read,,,,0,,,0,,,,,
355190,Orientalism,Edward W. Said,"Said, Edward W.",,,,0,4.05,Vintage,Paperback,395,2003,1978,,2021/08/01,to-read,to-read (#19),to-read,,,,0,,,0,,,,,
43369,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,"Hitchens, Christopher",,0446579807,9780446579803,0,3.93,Twelve,Hardcover,307,2007,2007,,2021/08/01,to-read,to-read (#18),to-read,,,,0,,,0,,,,,
23492802,Magic and Loss: The Internet as Art,Virginia Heffernan,"Heffernan, Virginia",,1439191700,9781439191705,0,3.49,Simon  Schuster,Hardcover,272,2016,2015,,2021/08/01,to-read,to-read (#17),to-read,,,,0,,,0,,,,,
232743,The Archaeology of Knowledge & The Discourse on Language,Michel Foucault,"Foucault, Michel",A.M. Sheridan Smith,0394711068,9780394711065,0,4.12,Vintage,Paperback,256,1982,1969,,2021/08/01,to-read,to-read (#16),to-read,,,,0,,,0,,,,,
796429,The Three Pillars of Zen,Philip Kapleau,"Kapleau, Philip",,0385260938,9780385260930,0,4.01,Anchor,Paperback,480,1989,1965,,2021/08/01,to-read,to-read (#15),to-read,,,,0,,,0,,,,,
770989,Game Theory: A Very Short Introduction,Ken Binmore,"Binmore, Ken",,0199218463,9780199218462,0,3.22,"Oxford University Press, USA",Paperback,200,2008,2007,,2021/08/01,to-read,to-read (#14),to-read,,,,0,,,0,,,,,
503150,Letters to a Young Contrarian,Christopher Hitchens,"Hitchens, Christopher",,0465030335,9780465030330,0,4.13,Basic Books,Paperback,141,2005,2001,,2021/08/01,to-read,to-read (#13),to-read,,,,0,,,0,,,,,
35540648,How to Actually Change Your Mind,Eliezer Yudkowsky,"Yudkowsky, Eliezer",,1939311179,9781939311177,0,4.29,Machine Intelligence Research Institute,Paperback,310,2017,2018,,2021/08/01,to-read,to-read (#12),to-read,,,,0,,,0,,,,,
36448501,The Bitcoin Standard: The Decentralized Alternative to Central Banking,Saifedean Ammous,"Ammous, Saifedean",,1119473861,9781119473862,0,4.17,Wiley,Hardcover,304,2018,2018,,2021/08/01,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
25111068,And Yet ...,Christopher Hitchens,"Hitchens, Christopher",,1476772061,9781476772066,0,3.98,Simon  Schuster,Hardcover,339,2015,2013,,2021/08/01,,,read,,,,1,,,0,,,,,
13529055,Mortality,Christopher Hitchens,"Hitchens, Christopher",,1455502758,9781455502752,0,4.06,Twelve,Hardcover,104,2012,2012,,2021/08/01,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
7864114,The Eleven Comedies: Complete Edition - Vol. 1 and Vol. 2,Aristophanes,"Aristophanes, Aristophanes",,1450512674,9781450512671,0,4.27,Createspace Independent Publishing Platform,Paperback,432,2010,,,2021/08/01,currently-reading,currently-reading (#3),currently-reading,,,,1,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",Prottasha Prachurjo Sayed Fayej Ahmed,,,0,4.40,Vintage,Paperback,512,2015,2011,,2021/08/01,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,,,0,4.21,Harper,Kindle Edition,450,2017,2015,,2021/08/01,,,read,,,,1,,,0,,,,,
36606376,Inadequate Equilibria: Where and How Civilizations Get Stuck,Eliezer Yudkowsky,"Yudkowsky, Eliezer",,,9781939311207,0,4.11,Machine Intelligence Research institute,ebook,167,2017,2017,,2021/08/01,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,,,0,4.24,Avon,Mass Market Paperback,1152,2002,1999,,2021/08/01,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
25942786,The Mind Illuminated: A Complete Meditation Guide Integrating Buddhist Wisdom and Brain Science,Culadasa (John Yates),"Yates), Culadasa (John","Matthew Immergut, Jeremy Graves, John Yates",0990847705,9780990847700,0,4.10,Dharma Treasure Press,Paperback,504,2015,2015,,2021/08/01,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,059331817X,9780593318171,0,3.83,Alfred A. Knopf,Hardcover,303,2021,2021,,2021/08/01,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
16720920,"Sabres on the Steppes: Danger, Diplomacy and Adventure in the Great Game",John Ure,"Ure, John",,1780331304,9781780331300,0,4.10,Constable & Robinson,ebook,149,2014,2012,,2021/08/01,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
6617037,"Debt: The First 5,000 Years",David Graeber,"Graeber, David",,1933633867,9781933633862,0,4.19,Melville House Publishing,Hardcover,534,2011,2011,,2021/08/01,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
22613,Simulacra and Simulation,Jean Baudrillard,"Baudrillard, Jean",Sheila Faria Glaser,0472065211,9780472065219,0,3.98,University of Michigan Press,Paperback,164,1994,1981,,2021/08/01,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
19400,The Decline and Fall of the Roman Empire,Edward Gibbon,"Gibbon, Edward","Daniel J. Boorstin, Giovanni Battista Piranesi, Hans-Friedrich Mueller",0375758119,9780375758119,0,4.00,Modern Library,Paperback,1312,2003,1776,,2021/08/01,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
51199459,Inside Story,Martin Amis,"Amis, Martin",,,,0,3.97,Vintage Digital,Kindle Edition,560,2020,2020,,2021/08/01,to-read,to-read (#1),to-read,,,,0,,,0,,,,,
42036377,Where Is My Flying Car?: A Memoir of Future Past,J Storrs Hall,"Hall, J Storrs",,,,0,4.26,,Kindle Edition,609,2018,,,2021/08/01,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,